"filename", "language", "JavaScript", "HTML", "Properties", "Java", "XML", "Batch", "CSS", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 4, 20
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 12, 33
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\images\close-blue.svg", "XML", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 1, 75
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\images\close-dark.svg", "XML", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 1, 75
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\images\close-light.svg", "XML", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 1, 75
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\index.html", "HTML", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 5, 144
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\javascript\main.js", "JavaScript", 200, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 228
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\javascript\utils\event_checker.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\javascript\utils\load.js", "JavaScript", 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 248
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\javascript\utils\math_utils.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 48
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\javascript\utils\notify.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 62
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\javascript\utils\popup\popup.js", "JavaScript", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 232
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\javascript\utils\popup\popup_tasks.js", "JavaScript", 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 185
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\javascript\utils\settings.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 134
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\javascript\utils\socket.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 105
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\javascript\utils\whiteboard.js", "JavaScript", 850, 0, 0, 0, 0, 0, 0, 0, 0, 10, 98, 958
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\samples\sampleLayout.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 1, 171
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\style\blue_theme.css", "CSS", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 17, 82
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\style\dark_theme.css", "CSS", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 18, 83
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\style\light_theme.css", "CSS", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 18, 83
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\style\main.css", "CSS", 0, 0, 0, 0, 0, 0, 380, 0, 0, 0, 52, 432
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\style\whiteboard.css", "CSS", 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 17, 135
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\team\banner.svg", "XML", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 1, 61
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\team\banner_2.svg", "XML", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 1, 114
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\team\logo.svg", "XML", 0, 0, 0, 0, 56, 0, 0, 0, 0, 1, 2, 59
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\test\WebsocketTest\.idea\codeStyles\Project.xml", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\test\WebsocketTest\.idea\codeStyles\codeStyleConfig.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\test\WebsocketTest\.idea\gradle.xml", "XML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\test\WebsocketTest\.idea\misc.xml", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\test\WebsocketTest\.idea\uiDesigner.xml", "XML", 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 124
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\test\WebsocketTest\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\test\WebsocketTest\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\test\WebsocketTest\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 39, 0, 0, 0, 29, 22, 90
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\test\WebsocketTest\src\main\java\com\vault6936\DashboardLayout.java", "Java", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 22, 142
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\test\WebsocketTest\src\main\java\com\vault6936\Main.java", "Java", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\test\WebsocketTest\src\main\java\com\vault6936\WebdashboardServer.java", "Java", 0, 0, 0, 80, 0, 0, 0, 0, 0, 1, 18, 99
"Total", "-", 1987, 139, 5, 214, 620, 39, 693, 170, 37, 43, 459, 4406